id,villeLowerCase,zipCode,long,lat
319,rignieux le franc,1800,5.18333,45.9333
320,giron,1130,5.76667,46.2333
321,cerdon,1450,5.46667,46.0833
322,cruzilles les mepillat,1290,4.88333,46.2167
323,lelex,1410,5.95,46.3
324,lhopital,1420,5.77834,46.0217
325,segny,1170,6.08333,46.3
326,cheignieu la balme,1510,5.61667,45.8333
327,saint vulbas,1150,5.28333,45.8333
328,echallon,1130,5.74139,46.21
329,le montellier,1800,5.06667,45.9333
330,martignat,1810,5.6,46.2167
331,ceyzeriat,1250,5.31667,46.1667
332,montcet,1310,5.11667,46.2
333,vonnas,1540,5,46.2167
334,buellas,1310,5.13333,46.2
335,saint benigne,1190,4.96667,46.4333
336,chevillard,1430,5.58333,46.1167
337,bouligneux,1330,5,46.0167
338,contrevoz,1300,5.63333,45.8
339,champdor,1110,5.6,46.0167
340,port,1460,5.56667,46.1667
341,surjoux,1420,5.8,46.0167
342,champfromier,1410,5.81667,46.2
343,vesines,1570,4.86667,46.35
344,seillonnaz,1470,5.48333,45.8
345,varambon,1160,5.31667,46.0333
346,le grand abergement,1260,5.66667,46.0333
347,jassans riottier,1480,4.75,45.9833
348,asnieres sur saone,1570,4.88333,46.3833
349,condamine,1430,5.56667,46.1167
350,lhuis,1680,5.53333,45.75
351,romans,1400,5.03333,46.1167
352,pizay,1120,5.08333,45.8833
353,certines,1240,5.26667,46.1333
354,ruffieu,1260,5.66667,46
355,meximieux,1800,5.2,45.9
356,saint rambert en bugey,1230,5.43333,45.95
357,ambronay,1500,5.35,46
358,cize,1250,5.43333,46.2
359,saint germain sur renon,1240,5.05,46.0833
360,villette sur ain,1320,5.26862,45.9884
361,dagneux,1120,5.06667,45.85
362,boissey,1190,5,46.3833
363,salavre,1270,5.35,46.3667
364,brion,1460,5.55251,46.1728
365,labalme,1450,5.48333,46.1
366,sauverny,1220,6.11667,46.3167
367,montceaux,1090,4.8,46.1
368,brenod,1110,5.6,46.0667
369,miserieux,1600,4.81667,45.9833
370,prevessin moens,1280,6.08333,46.25
371,lent,1240,5.2,46.1167
372,marsonnas,1340,5.06667,46.3333
373,manziat,1570,4.9,46.35
374,trevoux,1600,4.76667,45.9333
375,bellegarde sur valserine,1200,5.81667,46.1
376,bourg en bresse,1000,5.21667,46.2
377,confort,1200,5.81667,46.15
378,saint denis les bourg,1000,5.2,46.2
379,massignieu de rives,1300,5.76667,45.75
380,saint etienne sur chalaronne,1140,4.86667,46.15
381,bohas meyriat rignat,1250,5.4,46.1333
382,chevry,1170,6.03333,46.2833
383,fareins,1480,4.76667,46.0167
384,gorrevod,1190,4.95,46.4167
385,valeins,1140,4.86667,46.1167
386,vieu d izenave,1430,5.53333,46.0833
387,toussieux,1600,4.83333,45.9667
388,arbigny,1190,4.96667,46.4667
389,malafretaz,1340,5.15,46.3167
390,samognat,1580,5.58333,46.25
391,cras sur reyssouze,1340,5.16667,46.3
392,messimy sur saone,1480,4.76473,46.0484
393,pougny,1550,5.95,46.1333
394,sandrans,1400,4.98333,46.0667
395,pont de veyle,1290,4.88333,46.2667
396,mijoux,1170,6,46.3667
397,saint jean de gonville,1630,5.95,46.2167
398,saint andre le bouchoux,1240,5.08333,46.1167
399,chaneins,1990,4.85,46.1
400,joyeux,1800,5.1,45.95
401,tramoyes,1390,4.96667,45.8667
402,biziat,1290,4.93333,46.2167
403,izenave,1430,5.53333,46.0333
404,belmont luthezieu,1260,5.66167,45.8795
405,arbent,1100,5.68333,46.3
406,sutrieu,1260,5.65,45.95
407,serrieres de briord,1470,5.45445,45.8081
408,aranc,1110,5.5,46
409,chaley,1230,5.53333,45.95
410,curciat dongalon,1560,5.15,46.4667
411,loyettes,1360,5.2,45.7667
412,gex,1170,6.06667,46.3333
413,courtes,1560,5.1,46.4667
414,bereziat,1340,5.05,46.3667
415,lapeyrouse,1330,4.96667,45.9833
416,apremont,1100,5.65833,46.2083
417,villieu loyes mollon,1800,5.22223,45.9206
418,leyment,1150,5.3,45.9167
419,etrez,1340,5.18333,46.3333
420,gercy,2140,3.86667,49.8167
421,villemontoire,2210,3.33333,49.3
422,brancourt le grand,2110,3.38333,49.9667
423,licy clignon,2810,3.26667,49.1
424,proisy,2120,3.73333,49.9
425,chambry,2000,3.65,49.6
426,mont saint jean,2360,4.2,49.7833
427,morgny en thierache,2360,4.06667,49.7667
428,mesnil saint laurent,2720,3.35,49.8333
429,annois,2480,3.16667,49.7167
430,brunehamel,2360,4.18333,49.7667
431,audignicourt,2300,3.13333,49.4833
432,montigny sur crecy,2270,3.58333,49.7167
433,lor,2190,4.05,49.5333
434,chivres en laonnois,2350,3.85,49.6333
435,saint gobain,2410,3.38333,49.6
436,ugny le gay,2300,3.16667,49.6667
437,happencourt,2480,3.18333,49.7833
438,prouvais,2190,3.98333,49.4667
439,azy sur marne,2400,3.36667,49
440,terny sorny,2880,3.36667,49.45
441,droizy,2210,3.38333,49.2833
442,pignicourt,2190,4.03333,49.4167
443,moussy verneuil,2160,3.63333,49.4167
444,aguilcourt,2190,3.96667,49.4
445,montaigu,2820,3.83333,49.5333
446,moulins,2160,3.68333,49.4167
447,saulchery,2310,3.3,48.9833
448,nanteuil la fosse,2880,3.45,49.4333
449,guignicourt,2190,3.96667,49.4333
450,bucy le long,2880,3.38333,49.4
451,longpont,2600,3.21667,49.2667
452,montgobert,2600,3.15,49.3
453,noircourt,2340,4.1,49.6667
454,rozet saint albin,2210,3.3,49.2
455,chivy les etouvelles,2000,3.58333,49.5167
456,chavonne,2370,3.56667,49.4
457,artonges,2330,3.55,48.9333
458,oisy,2450,3.66667,50.0167
459,juvigny,2880,3.31667,49.45
460,marchais en brie,2540,3.48333,48.8833
461,bouconville vauclair,2860,3.75556,49.4656
462,la bouteille,2140,3.96667,49.8667
463,ly fontaine,2440,3.3,49.7167
464,logny les aubenton,2500,4.2,49.8333
465,cuirieux,2350,3.81667,49.6833
466,iron,2510,3.66667,49.95
467,joncourt,2420,3.3,49.95
468,effry,2500,4,49.9333
469,jumigny,2160,3.71667,49.4167
470,chaourse,2340,4,49.7
471,saint remy blanzy,2210,3.3,49.2333
472,beaumont en beine,2300,3.13333,49.7
473,le plessier huleu,2210,3.35,49.2333
474,estrees,2420,3.28333,49.9667
475,baulne en brie,2330,3.61667,48.9833
476,guivry,2300,3.11667,49.65
477,variscourt,2190,3.98333,49.4167
478,chatillon sur oise,2240,3.4,49.7833
479,soissons,2200,3.33333,49.3667
480,bray saint christophe,2480,3.15,49.7667
481,le herie la vieville,2120,3.63333,49.8167
482,aubenton,2500,4.2,49.8333
483,braye,2880,3.36667,49.4333
484,brissay choigny,2240,3.36667,49.7167
485,remaucourt,2100,3.33333,49.9
486,seraucourt le grand,2790,3.21667,49.7833
487,berry au bac,2190,3.9,49.4
488,vivaise,2870,3.56667,49.6167
489,proviseux et plesnoy,2190,4,49.4667
490,caumont,2300,3.18333,49.6167
491,villers le sec,2240,3.5,49.7833
492,vichel nanteuil,2210,3.28333,49.1833
493,romery,2120,3.73333,49.9
494,fontaine les clercs,2680,3.21667,49.8
495,chery les pouilly,2000,3.6,49.65
496,pithon,2480,3.1,49.75
497,beaurieux,2160,3.73333,49.4
498,sinceny,2300,3.25,49.6
499,bouffignereux,2160,3.85,49.3667
500,saint gengoulph,2810,3.21667,49.1167
501,pargny les bois,2270,3.61667,49.7167
502,montigny l allier,2810,3.1,49.1167
503,beuvardes,2130,3.48333,49.15
504,cuissy et geny,2160,3.7,49.4167
505,reuilly sauvigny,2850,3.55,49.0667
506,vailly sur aisne,2370,3.51667,49.4167
507,bievres,2860,3.71667,49.5
508,berny riviere,2290,3.15,49.4167
509,perles,2160,3.65,49.3167
510,fontenelle en brie,2540,3.48333,48.9167
511,neuflieux,2300,3.16667,49.6
512,sainte croix,2820,3.78333,49.4833
513,pargny la dhuys,2330,3.55,48.95
514,brenelle,2220,3.53333,49.3667
515,urvillers,2690,3.31667,49.7833
516,laversine,2600,3.16667,49.35
517,origny sainte benoite,2390,3.5,49.8333
518,cuiry housse,2220,3.48333,49.3
519,la neuville les dorengt,2450,3.68333,49.9667
520,blanzy les fismes,2160,3.66667,49.3333
521,hargicourt,2420,3.18,49.9623
522,villers sur fere,2130,3.53333,49.1833
523,la herie,2500,4.05,49.8833
524,bonnesvalyn,2400,3.31667,49.1167
525,haution,2140,3.83333,49.85
526,berzy le sec,2200,3.31667,49.3333
527,la vallee au ble,2140,3.78333,49.8667
528,le catelet,2420,3.25,50
529,gizy,2350,3.76667,49.6
530,saint algis,2260,3.81667,49.8833
531,saint aubin,2300,3.18333,49.5167
532,bancigny,2140,4.01667,49.8
533,villeneuve sur fere,2130,3.46667,49.1833
534,fleury,2600,3.15639,49.2581
535,quincy sous le mont,2220,3.55,49.3
536,besny et loizy,2870,3.58333,49.6
537,chery les rozoy,2360,4.08333,49.7167
538,chauny,2300,3.21667,49.6167
539,sommette eaucourt,2480,3.11667,49.7333
540,lierval,2860,3.61667,49.4833
541,chezy sur marne,2570,3.36667,48.9833
542,oulches la vallee foulon,2160,3.75,49.4333
543,anizy le chateau,2320,3.45,49.5
544,maizy,2160,3.73333,49.3833
545,fourdrain,2870,3.46667,49.6
546,nampteuil sous muret,2200,3.41667,49.3
547,urcel,2000,3.55,49.5
548,louatre,2600,3.25,49.25
549,barzy en thierache,2170,3.75,50.0333
550,conde en brie,2330,3.55,49
551,dampleux,2600,3.15,49.25
552,sommelans,2470,3.3,49.1333
553,pontruet,2490,3.23333,49.9
554,oigny en valois,2600,3.13333,49.2167
555,loupeigne,2130,3.53333,49.25
556,lhuys,2220,3.55,49.2833
557,eparcy,2500,4.06667,49.8667
558,la chapelle monthodon,2330,3.63333,49.0167
559,morsain,2290,3.18333,49.45
560,jaulgonne,2850,3.53333,49.0833
561,chermizy ailles,2860,3.73333,49.4667
562,becquigny,2110,3.46973,50.0173
563,festieux,2840,3.75,49.5167
564,villers les guise,2120,3.68333,49.9
565,nampcelles la cour,2140,4,49.7833
566,montigny en arrouaise,2110,3.48333,49.9
567,berrieux,2820,3.85,49.4833
568,chigny,2120,3.76667,49.9167
569,muret et crouttes,2210,3.41667,49.2833
570,flavigny le grand et beaurain,2120,3.66473,49.8909
571,laon,2000,3.61667,49.5667
572,saint clement,2360,4.06667,49.7667
573,dercy,2270,3.68333,49.7
574,anguilcourt le sart,2800,3.43333,49.6833
575,villers en prayeres,2160,3.66667,49.3833
576,chalandry,2270,3.63333,49.6833
577,laval en laonnois,2860,3.6,49.5
578,fressancourt,2800,3.41667,49.6167
579,le sourd,2140,3.75,49.8667
580,fontaine notre dame,2110,3.43333,49.8833
581,chery chartreuve,2220,3.61667,49.2667
582,mortefontaine,2600,3.07611,49.3317
583,serain,2110,3.36667,50.0167
584,maast et violaine,2220,3.45,49.2833
585,neuville sur ailette,2860,3.7,49.4667
586,francilly selency,2760,3.23333,49.85
587,bezu le guery,2310,3.23333,49.0167
588,marle,2250,3.76667,49.7333
589,leme,2140,3.76667,49.8333
590,cierges,2130,3.6,49.1667
591,craonne,2160,3.78333,49.4333
592,courtemont varennes,2850,3.55,49.0667
593,pommiers,2200,3.26667,49.4
594,gland,2400,3.46667,49.05
595,landouzy la cour,2140,3.98333,49.85
596,montigny les conde,2330,3.56667,48.9833
597,leuilly sous coucy,2380,3.33333,49.4833
598,ploisy,2200,3.3,49.3333
599,serval,2160,3.68333,49.35
600,billy sur ourcq,2210,3.3,49.2167
601,ambrief,2200,3.4,49.3167
602,prisces,2140,3.86667,49.7833
603,roupy,2590,3.18333,49.8167
604,roncheres,2130,3.6,49.15
605,lugny,2140,3.81667,49.7833
606,chezy en orxois,2810,3.18333,49.1333
607,dhuizel,2220,3.61667,49.3667
608,etampes sur marne,2400,3.41667,49.0333
609,vaux en vermandois,2590,3.15,49.8167
610,boue,2450,3.7,50.0167
611,la fere,2800,3.36667,49.6667
612,saint michel,2830,4.13333,49.9167
613,castres,2680,3.23333,49.8
614,mesbrecourt richecourt,2270,3.55,49.7
615,beugneux,2210,3.41667,49.2333
616,clermont les fermes,2340,3.95,49.6667
617,condren,2700,3.28333,49.6167
618,franqueville,2140,3.80945,49.81
619,arcy sainte restitue,2130,3.46667,49.25
620,burelles,2140,3.9,49.7833
621,rocourt saint martin,2210,3.38333,49.15
622,commenchon,2300,3.16667,49.6333
623,voulpaix,2140,3.83333,49.8333
624,bucy les cerny,2870,3.51667,49.5833
625,renansart,2240,3.45,49.7167
626,presles et boves,2370,3.55,49.4
627,lavaqueresse,2450,3.70833,49.95
628,cuffies,2880,3.31667,49.4167
629,villequier aumont,2300,3.2,49.65
630,vendelles,2490,3.13333,49.9167
631,attilly,2490,3.16667,49.85
632,berlancourt,2250,3.75806,49.7787
633,grisolles,2210,3.35,49.15
634,courcelles sur vesle,2220,3.57195,49.3381
635,sons et roncheres,2270,3.66667,49.75
636,seringes et nesles,2130,3.53333,49.2
637,grandlup et fay,2350,3.73333,49.6667
638,coincy,2210,3.41667,49.1667
639,marly gomont,2120,3.8,49.9
640,macogny,2470,3.23333,49.1667
641,tartiers,2290,3.23333,49.4333
642,gibercourt,2440,3.28333,49.7333
643,pontru,2490,3.21667,49.9
644,trelou sur marne,2850,3.60695,49.077
645,la ville aux bois les dizy,2340,3.99334,49.6612
646,amigny rouy,2700,3.3,49.6
647,charmes,2800,3.38333,49.65
648,viffort,2540,3.45,48.9667
649,machecourt,2350,3.84167,49.6583
650,nogent l artaud,2310,3.31667,48.9667
651,tannieres,2220,3.55,49.2833
652,saint erme outre et ramecourt,2820,3.85,49.5167
653,jouaignes,2220,3.5,49.3
654,vaucelles et beffecourt,2000,3.55,49.5333
655,lesquielles saint germain,2120,3.61667,49.9333
656,aizy jouy,2370,3.51639,49.4348
657,faucoucourt,2320,3.46667,49.5333
658,chavigny,2880,3.3,49.4333
659,veuilly la poterie,2810,3.21667,49.0833
